cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
lung,baseline,40000,71,68,68,0.12581691813214219
lung,baseline,40000,71,67,67,0.05966087270384432
lung,baseline,40000,71,65,65,0.11642700933441377
lung,baseline,40000,71,63,63,0.02738698242341855
lung,baseline,40000,71,57,57,0.3222613083133481
lung,baseline,40000,71,37,37,0.312487034744854
lung,baseline,40000,71,28,28,0.38255698929188864
lung,baseline,40000,71,14,14,0.2092328076391063
lung,baseline,40000,71,68,68,0.04329211250978336
lung,baseline,40000,71,52,52,0.034423116373027834
lung,baseline,40000,71,44,44,0.03004896102785096
lung,baseline,40000,71,40,40,0.03799008013836902
lung,baseline,40000,71,35,35,0.13326234233956927
lung,baseline,40000,71,70,70,0.1323715395135497
lung,baseline,40000,71,61,61,0.229628985070865
lung,baseline,40000,71,64,64,0.02559368345687689
lung,baseline,40000,71,37,37,0.1447512770259529
lung,baseline,40000,71,35,35,0.16651739024331969
lung,baseline,40000,71,37,37,0.040270553710580734
lung,baseline,40000,71,64,64,0.17143679263139058
lung,baseline,40000,71,28,28,0.2047567270278757
lung,baseline,40000,71,14,14,0.21299436613853423
lung,baseline,40000,71,70,70,0.17833564391417686
lung,baseline,40000,71,70,70,0.0057819932129626874
lung,baseline,40000,71,67,67,0.021083545814842612
lung,baseline,40000,71,70,70,0.012363165015428303
lung,baseline,40000,71,47,47,0.03466116207808209
lung,baseline,40000,71,68,68,0.29444434891477256
lung,baseline,40000,71,37,37,0.16592518059218928
lung,baseline,40000,71,28,28,0.39770237132551933
lung,baseline,40000,71,37,37,0.04528445267596981
lung,baseline,40000,71,70,70,0.01983045191907383
lung,baseline,40000,71,70,70,0.006118013967731288
lung,baseline,40000,71,68,68,0.04633771957031217
lung,baseline,40000,71,66,66,0.08731766775824969
lung,baseline,40000,71,65,65,0.038981132374292515
lung,baseline,40000,71,68,68,0.20472959090348258
lung,baseline,40000,71,66,66,0.19615212179414562
lung,baseline,40000,71,65,65,0.1988925304383861
lung,baseline,40000,71,65,65,0.1900088030223244
lung,baseline,40000,71,68,68,0.006645511270384792
lung,baseline,40000,71,67,67,0.07073802236582094
lung,baseline,40000,71,65,65,0.010884085315215921
lung,baseline,40000,71,37,37,0.1555410913872973
lung,baseline,40000,71,35,35,0.17160594945229604
lung,baseline,40000,72,68,68,0.14261635524148186
lung,baseline,40000,72,67,67,0.11238408696856876
lung,baseline,40000,72,71,71,0.009692084258525063
lung,baseline,40000,72,71,71,0.03167090663341372
lung,baseline,40000,72,66,66,0.014466653932799091
lung,baseline,40000,72,65,65,0.03628177461040265
lung,baseline,40000,72,69,69,0.007971016388939104
lung,baseline,40000,72,68,68,0.07986340959015963
lung,baseline,40000,72,66,66,0.10658647353390212
lung,baseline,40000,72,55,55,0.0770054723806223
lung,baseline,40000,72,28,28,0.16233342591690975
lung,baseline,40000,72,37,37,0.1815951422643935
lung,baseline,40000,72,71,71,0.01854158001206369
lung,baseline,40000,72,68,68,0.010975428758644573
lung,baseline,40000,72,68,68,0.07289735426030973
lung,baseline,40000,72,14,14,0.1954545810964697
lung,baseline,40000,72,71,71,0.06031910376032949
lung,baseline,40000,72,69,69,0.11020799643257756
lung,baseline,40000,72,28,28,0.18515281128177116
lung,baseline,40000,72,71,71,0.04927182998858581
lung,baseline,40000,72,64,64,0.011778586219134097
lung,baseline,40000,72,35,35,0.045929925260754255
lung,baseline,40000,72,71,71,0.04980901458301794
lung,baseline,40000,72,68,68,0.042776293018363276
lung,baseline,40000,72,66,66,0.030388958573067858
lung,baseline,40000,72,47,47,0.03725451290974258
lung,baseline,40000,72,46,46,0.03910862117248932
lung,baseline,40000,72,66,66,0.0743179260946392
lung,baseline,40000,72,62,62,0.07863678520435359
lung,baseline,40000,72,14,14,0.19919942387128556
lung,baseline,40000,72,32,32,0.2751677928673687
lung,baseline,40000,72,71,71,0.02056013224760083
