cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
lung,baseline,40000,72,28,28,0.18516166335535875
lung,baseline,40000,72,71,71,0.04927180529535216
lung,baseline,40000,72,64,64,0.011778586282924025
lung,baseline,40000,72,35,35,0.04592989714236476
lung,baseline,40000,72,71,71,0.04980901309061169
lung,baseline,40000,72,68,68,0.0427762913986019
lung,baseline,40000,72,66,66,0.030388957897622564
lung,baseline,40000,72,47,47,0.03725451290981777
lung,baseline,40000,72,46,46,0.039108621173079824
lung,baseline,40000,72,66,66,0.07431792609851759
lung,baseline,40000,72,62,62,0.07863678521447776
lung,baseline,40000,72,14,14,0.1991994238731993
lung,baseline,40000,72,32,32,0.2751677928703456
lung,baseline,40000,72,71,71,0.020560132246094636
lung,baseline,40000,72,69,69,0.012526479810764752
lung,baseline,40000,72,14,14,0.2546488318808811
lung,baseline,40000,72,14,14,0.18089344059748677
lung,baseline,40000,72,59,59,0.2282660737819085
lung,baseline,40000,72,57,57,0.2074225427081972
lung,baseline,40000,72,70,70,0.017084813917473515
lung,baseline,40000,72,64,64,0.010993495907147332
lung,baseline,40000,72,35,35,0.04406574720048388
lung,baseline,40000,72,71,71,0.004364227412728537
lung,baseline,40000,72,71,71,0.04158467313855123
lung,baseline,40000,72,62,62,0.05947298206305236
lung,baseline,40000,72,70,70,0.027746409760226052
lung,baseline,40000,72,69,69,0.009950425619377876
lung,baseline,40000,72,14,14,0.21835937351336746
lung,baseline,40000,72,66,66,0.0176930063835556
lung,baseline,40000,72,62,62,0.1332175529843809
lung,baseline,40000,72,37,37,0.18230637253065868
lung,baseline,40000,72,35,35,0.1687286192376562
lung,baseline,40000,72,14,14,0.2564882568510628
lung,baseline,40000,72,64,64,0.09439147439291429
lung,baseline,40000,72,40,40,0.04689943217753704
lung,baseline,40000,72,63,63,0.06792358392348795
lung,baseline,40000,72,63,63,0.20655833121328923
lung,baseline,40000,72,33,33,0.16230992704468236
lung,baseline,40000,72,71,71,0.11215004949176749
lung,baseline,40000,72,71,71,0.010956627935383757
lung,baseline,40000,72,65,65,0.018197709619132158
lung,baseline,40000,72,71,71,0.1101215657922045
lung,baseline,40000,72,65,65,0.02091178732720927
lung,baseline,40000,72,64,64,0.03729580099449227
lung,baseline,40000,72,34,34,0.22010083058882568
lung,baseline,40000,72,33,33,0.22549715585620234
lung,baseline,40000,72,19,19,0.2951041916657442
lung,baseline,40000,72,71,71,0.04987259966669658
lung,baseline,40000,72,71,71,0.002484028185332348
lung,baseline,40000,72,65,65,0.02670458104308009
lung,baseline,40000,72,28,28,0.35174158324141896
lung,baseline,40000,72,14,14,0.21366284261041754
lung,baseline,40000,72,47,47,0.2601344108695236
lung,baseline,40000,72,71,71,0.009063878914092958
lung,baseline,40000,72,70,70,0.031159831515025493
lung,baseline,40000,72,69,69,0.010567875580870955
lung,baseline,40000,72,65,65,0.03465776956378015
lung,baseline,40000,72,64,64,0.03129695995884576
lung,baseline,40000,72,67,67,0.10796179732467026
lung,baseline,40000,72,67,67,0.10967703755798802
lung,baseline,40000,72,58,58,0.1298824969985727
lung,baseline,40000,72,53,53,0.0929366851530584
lung,baseline,40000,72,47,47,0.2877499649142173
lung,baseline,40000,72,46,46,0.27792198780456123
lung,baseline,40000,72,28,28,0.4211728533791242
lung,baseline,40000,72,66,66,0.25629179712898864
lung,baseline,40000,72,64,64,0.20460389514295999
lung,baseline,40000,72,70,70,0.01281395408984491
lung,baseline,40000,72,70,70,0.009342406687661784
lung,baseline,40000,72,47,47,0.031086096403117002
lung,baseline,40000,72,70,70,0.010381894629140659
lung,baseline,40000,72,69,69,0.037732206990531036
lung,baseline,40000,72,64,64,0.031506950238171724
lung,baseline,40000,72,62,62,0.022678432975491023
lung,baseline,40000,72,34,34,0.05424806825703543
lung,baseline,40000,72,71,71,0.1286287571123346
lung,baseline,40000,73,68,68,0.14621994223919882
lung,baseline,40000,73,61,61,0.09657960056056572
lung,baseline,40000,73,46,46,0.15452387802613646
lung,baseline,40000,73,72,72,0.007750078876665393
lung,baseline,40000,73,72,72,0.11994453760052205
lung,baseline,40000,73,72,72,0.00833351855831685
lung,baseline,40000,73,72,72,0.028631990879545724
lung,baseline,40000,73,68,68,0.030993771317554934
lung,baseline,40000,73,72,72,0.104971733882909
lung,baseline,40000,73,66,66,0.018459748788453835
lung,baseline,40000,73,58,58,0.06248620098019568
lung,baseline,40000,73,37,37,0.09487323119169991
lung,baseline,40000,73,36,36,0.07580878268918152
lung,baseline,40000,73,34,34,0.23277700020032863
lung,baseline,40000,73,14,14,0.22532526407744635
lung,baseline,40000,73,64,64,0.019986837765985654
lung,baseline,40000,73,72,72,0.13356943783186873
lung,baseline,40000,73,72,72,0.19852194253465305
lung,baseline,40000,73,67,67,0.13183404598450724
lung,baseline,40000,73,58,58,0.201340222964354
lung,baseline,40000,73,57,57,0.1416665054199175
lung,baseline,40000,73,72,72,0.016946156355257282
lung,baseline,40000,73,71,71,0.0035081425652843455
lung,baseline,40000,73,70,70,0.03948289805623407
lung,baseline,40000,73,70,70,0.043008564874862355
lung,baseline,40000,73,72,72,0.11414708085393646
lung,baseline,40000,73,72,72,0.13737761753339534
lung,baseline,40000,73,72,72,0.04749355418153264
lung,baseline,40000,73,69,69,0.07999671422162218
lung,baseline,40000,73,61,61,0.03593127546623567
lung,baseline,40000,73,72,72,0.11737886854616376
lung,baseline,40000,73,69,69,0.07029678195896162
lung,baseline,40000,73,72,72,0.11850000125800945
lung,baseline,40000,73,72,72,0.030350476954730747
lung,baseline,40000,73,68,68,0.014797249729012677
lung,baseline,40000,73,14,14,0.2691344615463458
lung,baseline,40000,73,72,72,0.13137720466982555
lung,baseline,40000,73,72,72,0.006972083241015604
lung,baseline,40000,73,71,71,0.013404964120242592
lung,baseline,40000,73,66,66,0.020203560335845007
lung,baseline,40000,73,72,72,0.11479696223883051
lung,baseline,40000,73,72,72,0.027355165990048294
lung,baseline,40000,73,72,72,0.014037116158399568
lung,baseline,40000,73,70,70,0.01053029628500417
lung,baseline,40000,73,68,68,0.03185834317646608
lung,baseline,40000,73,64,64,0.0324257547964398
lung,baseline,40000,73,62,62,0.025290302862794906
lung,baseline,40000,73,14,14,0.21466209135258224
lung,baseline,40000,73,37,37,0.23877411591549394
lung,baseline,40000,73,72,72,0.15881277553113618
lung,baseline,40000,73,72,72,0.10925472357730069
lung,baseline,40000,73,70,70,0.04258198655825195
lung,baseline,40000,73,64,64,0.04421214373234268
lung,baseline,40000,73,72,72,0.061941981527397015
lung,baseline,40000,73,72,72,0.10634847003766229
lung,baseline,40000,73,68,68,0.01884790396366049
lung,baseline,40000,73,72,72,0.18003894840634532
lung,baseline,40000,73,64,64,0.011994661976811413
lung,baseline,40000,73,37,37,0.04624164440917287
lung,baseline,40000,73,35,35,0.049718264851585446
lung,baseline,40000,73,34,34,0.05563434495071506
lung,baseline,40000,73,70,70,0.008029810536788586
lung,baseline,40000,73,68,68,0.10710297216015277
lung,baseline,40000,73,68,68,0.07432872163173043
lung,baseline,40000,73,64,64,0.1620921566685844
lung,baseline,40000,73,34,34,0.15618397678774348
