cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
prostate,baseline,40000,68,34,34,0.11581373898279483
prostate,baseline,40000,68,63,63,0.30181777545620964
prostate,baseline,40000,68,56,56,0.34844844229679434
prostate,baseline,40000,68,31,31,0.3156055230435028
prostate,baseline,40000,68,60,60,0.04650003382168783
prostate,baseline,40000,68,56,56,0.017889534400993334
prostate,baseline,40000,68,53,53,0.09519263556283938
prostate,baseline,40000,68,67,67,0.14931236823996147
prostate,baseline,40000,68,67,67,0.2110172768836935
prostate,baseline,40000,68,54,54,0.03900116786464385
prostate,baseline,40000,68,67,67,0.11265167564585092
prostate,baseline,40000,68,67,67,0.09676921445171031
prostate,baseline,40000,68,64,64,0.060643253604802966
prostate,baseline,40000,68,63,63,0.11268558014535983
prostate,baseline,40000,68,67,67,0.14915130048820177
prostate,baseline,40000,68,61,61,0.026418461379620013
prostate,baseline,40000,68,67,67,0.26906269744438027
prostate,baseline,40000,68,65,65,0.03691744269866699
prostate,baseline,40000,68,67,67,0.0066690168642843115
prostate,baseline,40000,68,65,65,0.006699464690560416
prostate,baseline,40000,68,34,34,0.021239263934700423
prostate,baseline,40000,68,66,66,0.08459408019727074
prostate,baseline,40000,68,64,64,0.1448628195185323
prostate,baseline,40000,68,63,63,0.09370243774751846
prostate,baseline,40000,68,62,62,0.11467606433919017
prostate,baseline,40000,68,67,67,0.006869085149797813
prostate,baseline,40000,68,67,67,0.0012853891551636162
prostate,baseline,40000,68,67,67,0.017544723340178456
prostate,baseline,40000,68,67,67,0.0025573128352110036
prostate,baseline,40000,68,66,66,0.0023931966029419756
prostate,baseline,40000,68,65,65,0.00552694762762967
prostate,baseline,40000,68,67,67,0.22792730104552977
prostate,baseline,40000,68,67,67,0.252386413635112
prostate,baseline,40000,68,62,62,0.2586955601360262
prostate,baseline,40000,68,67,67,0.041232159432745774
prostate,baseline,40000,68,67,67,0.005541696948973926
prostate,baseline,40000,68,48,48,0.026613782180306716
prostate,baseline,40000,68,48,48,0.13206665596985218
prostate,baseline,40000,68,67,67,0.17332525135368088
prostate,baseline,40000,68,66,66,0.10155586024456748
prostate,baseline,40000,68,64,64,0.09300196488405295
prostate,baseline,40000,68,57,57,0.08043320771287264
prostate,baseline,40000,68,48,48,0.09176848756487725
prostate,baseline,40000,68,42,42,0.04207880788438149
prostate,baseline,40000,68,40,40,0.10202022916968093
prostate,baseline,40000,68,38,38,0.10225813300171636
prostate,baseline,40000,68,38,38,0.035937086386190926
prostate,baseline,40000,68,37,37,0.14390331956940505
prostate,baseline,40000,68,33,33,0.10044532595314133
prostate,baseline,40000,68,60,60,0.0063933811130540705
prostate,baseline,40000,68,67,67,0.22526123655449637
prostate,baseline,40000,68,60,60,0.17867984421244304
prostate,baseline,40000,68,34,34,0.16430273644605392
prostate,baseline,40000,68,26,26,0.25894157444862875
prostate,baseline,40000,68,67,67,0.09994047841928155
prostate,baseline,40000,68,49,49,0.03967867914633515
prostate,baseline,40000,68,67,67,0.12562600323007966
prostate,baseline,40000,68,49,49,0.07677684003750393
prostate,baseline,40000,68,65,65,0.1221637823097396
prostate,baseline,40000,68,64,64,0.09253876535447815
prostate,baseline,40000,68,55,55,0.055034070080616546
prostate,baseline,40000,68,55,55,0.039307235086955036
prostate,baseline,40000,68,56,56,0.029532753826676583
prostate,baseline,40000,68,63,63,0.10796755146351772
prostate,baseline,40000,68,55,55,0.12622277150062236
prostate,baseline,40000,68,67,67,0.0027477034202024833
prostate,baseline,40000,68,67,67,0.008935784981449424
prostate,baseline,40000,68,64,64,0.014402282599515759
prostate,baseline,40000,68,65,65,0.18252978073111156
prostate,baseline,40000,68,33,33,0.23150228206414822
prostate,baseline,40000,68,67,67,0.0041914862857398245
prostate,baseline,40000,68,67,67,0.025626028165926747
